2015-04-15 11:15:39		/?debug=1&DEBUG=1	 Message: syntax error, unexpected '$this' (T_VARIABLE)	 File: E:\wechat2.0\weixin\app\controllers\HomeController.php	 Line: 9
2015-04-15 11:15:39		/?debug=1&DEBUG=1	 Message: syntax error, unexpected '$this' (T_VARIABLE)	 File: E:\wechat2.0\weixin\app\controllers\HomeController.php	 Line: 9
2015-04-15 11:15:46		/?debug=1&DEBUG=1	 Message: syntax error, unexpected '$this' (T_VARIABLE)	 File: E:\wechat2.0\weixin\app\controllers\HomeController.php	 Line: 9
2015-04-15 11:15:47		/?debug=1&DEBUG=1	 Message: syntax error, unexpected '$this' (T_VARIABLE)	 File: E:\wechat2.0\weixin\app\controllers\HomeController.php	 Line: 9
2015-04-15 11:15:47		/?debug=1&DEBUG=1	 Message: syntax error, unexpected '$this' (T_VARIABLE)	 File: E:\wechat2.0\weixin\app\controllers\HomeController.php	 Line: 9
2015-04-15 11:16:14		/	 Message: syntax error, unexpected '$this' (T_VARIABLE)	 File: E:\wechat2.0\weixin\app\controllers\HomeController.php	 Line: 9
2015-04-15 11:16:20		/?debug=1	 Message: syntax error, unexpected '$this' (T_VARIABLE)	 File: E:\wechat2.0\weixin\app\controllers\HomeController.php	 Line: 9
2015-04-15 11:16:38		/?debug=1	 Message: syntax error, unexpected ']'	 File: E:\wechat2.0\weixin\app\controllers\HomeController.php	 Line: 8
2015-04-15 11:16:38		/?debug=1	 Message: syntax error, unexpected ']'	 File: E:\wechat2.0\weixin\app\controllers\HomeController.php	 Line: 8
2015-04-15 11:16:42		/?debug=1	 Message: syntax error, unexpected '$this' (T_VARIABLE)	 File: E:\wechat2.0\weixin\app\controllers\HomeController.php	 Line: 9
2015-04-15 11:16:42		/?debug=1	 Message: syntax error, unexpected '$this' (T_VARIABLE)	 File: E:\wechat2.0\weixin\app\controllers\HomeController.php	 Line: 9
2015-04-15 11:16:42		/?debug=1	 Message: syntax error, unexpected '$this' (T_VARIABLE)	 File: E:\wechat2.0\weixin\app\controllers\HomeController.php	 Line: 9
2015-04-15 11:16:42		/?debug=1	 Message: syntax error, unexpected '$this' (T_VARIABLE)	 File: E:\wechat2.0\weixin\app\controllers\HomeController.php	 Line: 9
2015-04-15 11:16:42		/?debug=1	 Message: syntax error, unexpected '$this' (T_VARIABLE)	 File: E:\wechat2.0\weixin\app\controllers\HomeController.php	 Line: 9
2015-04-15 11:16:43		/?debug=1	 Message: syntax error, unexpected '$this' (T_VARIABLE)	 File: E:\wechat2.0\weixin\app\controllers\HomeController.php	 Line: 9
2015-04-15 11:16:43		/?debug=1	 Message: syntax error, unexpected '$this' (T_VARIABLE)	 File: E:\wechat2.0\weixin\app\controllers\HomeController.php	 Line: 9
2015-04-15 11:16:43		/?debug=1	 Message: syntax error, unexpected '$this' (T_VARIABLE)	 File: E:\wechat2.0\weixin\app\controllers\HomeController.php	 Line: 9
2015-04-15 11:16:51		/?debug=1	 Message: syntax error, unexpected '$this' (T_VARIABLE)	 File: E:\wechat2.0\weixin\app\controllers\HomeController.php	 Line: 9
2015-04-15 11:16:51		/?debug=1	 Message: syntax error, unexpected '$this' (T_VARIABLE)	 File: E:\wechat2.0\weixin\app\controllers\HomeController.php	 Line: 9
2015-04-15 11:16:51		/?debug=1	 Message: syntax error, unexpected '$this' (T_VARIABLE)	 File: E:\wechat2.0\weixin\app\controllers\HomeController.php	 Line: 9
